Age,Gender,Year_of_Study,Course,Student_Background,Monthly_Allowance_KES,Accommodation,Distance_From_Campus_KM,Transport_Type,Outings_Per_Month,Gym_Membership,Relationship_Status,Gaming_Hours_Per_Week,Cafeteria_Visits_Per_Month,Ride_Hailing_Trips_Per_Month,Online_Shopping_Orders_Per_Month,Club_Events_Attended,Printing_Frequency,Mobile_Data_Usage_GB,Meal_Habit,Semester_Spending_KES,Spending_Category
24,Male,4,Engineering,Urban,10256,Off-campus,1.3,Car,9,1,1,10,5,4,6,4,6,18,Takeout,46176,Low
23,Male,2,Medicine,Rural,24019,On-campus,0.6,Bike,0,0,1,9,8,13,3,3,11,26,Cooking,56606,Low
23,Female,3,Arts,Urban,13162,Off-campus,7.2,Car,6,0,0,14,21,12,5,5,6,6,Canteen,55663,Low
24,Male,1,Engineering,Urban,23944,On-campus,8.7,Walk,2,0,0,16,13,1,2,2,8,4,Canteen,65637,Medium
23,Male,4,Arts,Rural,10415,On-campus,4.1,Bike,5,1,1,7,27,3,5,4,6,44,Takeout,55323,Low
20,Male,1,Arts,Urban,8391,On-campus,6.0,Walk,4,0,1,17,11,11,1,1,1,51,Cooking,53484,Low
21,Female,4,Medicine,Urban,16157,Off-campus,1.4,Walk,4,1,1,22,27,5,7,5,4,29,Cooking,59106,Low
24,Female,1,Business,Urban,10951,Off-campus,5.0,Walk,10,0,0,8,24,9,1,5,13,59,Canteen,63271,Medium
21,Male,4,Science,Urban,13007,On-campus,7.8,Walk,4,1,1,24,19,14,6,4,7,34,Canteen,72028,High
25,Female,4,Science,Urban,14064,On-campus,11.0,Bike,0,0,0,7,23,10,8,5,13,17,Takeout,62990,Medium
18,Female,2,Medicine,Urban,20524,Off-campus,0.1,Walk,0,1,1,13,24,6,0,6,13,43,Canteen,62157,Medium
20,Female,4,Arts,Rural,24282,Off-campus,7.0,Walk,2,0,1,24,3,10,7,4,2,43,Takeout,70516,High
22,Female,2,Engineering,Urban,5077,Off-campus,4.5,Car,11,0,0,17,20,4,6,0,9,53,Canteen,58594,Low
20,Female,4,Arts,Urban,12577,On-campus,12.8,Bike,9,0,0,21,29,8,5,7,8,16,Canteen,77655,High
24,Male,3,Medicine,Rural,21984,Off-campus,10.7,Bike,3,1,1,19,23,2,5,3,8,2,Cooking,75053,High
22,Female,3,Science,Rural,19060,On-campus,8.8,Bus,4,0,1,19,11,0,5,8,7,34,Canteen,64687,Medium
18,Male,3,Arts,Rural,22449,Off-campus,4.2,Bike,1,1,1,20,9,3,8,9,4,55,Canteen,65300,Medium
24,Male,4,Science,Rural,23520,On-campus,13.7,Bike,7,1,0,11,29,8,1,5,2,8,Takeout,81176,High
19,Female,2,Engineering,Rural,15535,Off-campus,0.7,Bus,10,0,0,18,21,3,0,0,3,13,Canteen,58067,Low
21,Male,2,Science,Rural,14510,Off-campus,1.6,Bike,10,0,0,13,27,1,5,2,12,42,Takeout,62805,Medium
18,Male,4,Science,Rural,11943,Off-campus,5.9,Bike,1,0,0,16,6,9,9,2,6,8,Canteen,49605,Low
21,Male,3,Business,Urban,16954,Off-campus,1.9,Bike,8,1,0,23,2,13,7,9,12,30,Canteen,56838,Low
23,Female,3,Business,Urban,12804,Off-campus,14.3,Bike,1,0,0,20,22,13,2,3,12,32,Takeout,74274,High
19,Female,2,Business,Rural,11565,On-campus,12.0,Bus,8,1,1,2,27,4,9,5,5,36,Cooking,66858,Medium
19,Male,3,Science,Urban,10984,Off-campus,3.9,Bike,6,1,1,22,13,2,0,6,12,47,Takeout,63115,Medium
18,Female,1,Medicine,Urban,9670,Off-campus,8.8,Bike,7,0,0,6,23,12,8,9,8,30,Takeout,65516,Medium
19,Female,2,Science,Urban,23574,Off-campus,14.7,Bus,10,0,1,16,9,11,0,3,6,1,Takeout,82717,High
22,Female,3,Medicine,Rural,14184,On-campus,13.3,Car,1,0,1,11,15,12,2,5,6,43,Cooking,70354,High
19,Female,2,Medicine,Rural,24096,Off-campus,9.0,Walk,6,0,0,8,15,8,7,0,1,39,Canteen,68071,Medium
21,Male,1,Business,Urban,7192,On-campus,13.6,Car,11,0,1,14,21,3,2,7,4,17,Takeout,74665,High
21,Male,2,Arts,Rural,6248,Off-campus,14.8,Bus,5,0,0,17,9,5,3,6,5,59,Takeout,67722,Medium
24,Female,2,Engineering,Urban,16246,Off-campus,11.2,Walk,3,1,0,20,24,1,7,8,12,20,Cooking,69924,High
21,Female,2,Business,Urban,17790,On-campus,1.0,Bus,6,1,1,12,12,5,0,2,11,24,Takeout,50920,Low
24,Male,2,Business,Urban,23381,Off-campus,6.0,Bus,3,1,0,20,5,2,5,1,3,50,Canteen,64472,Medium
21,Male,1,Arts,Urban,8687,On-campus,12.6,Bike,1,0,0,7,11,11,0,0,13,22,Cooking,60822,Medium
22,Female,4,Engineering,Rural,9018,On-campus,3.5,Walk,9,1,0,13,8,11,0,2,9,29,Canteen,52337,Low
25,Male,2,Science,Rural,16302,Off-campus,12.5,Bike,11,1,0,7,12,8,7,4,1,22,Canteen,76795,High
24,Female,2,Science,Rural,6970,On-campus,1.8,Walk,6,1,0,13,3,10,3,1,6,44,Cooking,45163,Low
20,Female,3,Business,Urban,13389,Off-campus,0.7,Bus,7,1,0,6,23,1,0,2,6,9,Takeout,50100,Low
23,Male,2,Engineering,Rural,22586,Off-campus,5.8,Bus,1,1,0,22,10,14,9,3,10,37,Canteen,60900,Medium
18,Male,3,Business,Urban,20374,On-campus,0.6,Car,4,0,0,11,19,11,6,6,5,10,Canteen,57759,Low
21,Female,4,Medicine,Rural,10788,On-campus,14.4,Walk,0,0,1,10,17,11,4,2,12,36,Canteen,67515,Medium
19,Female,1,Business,Urban,10408,On-campus,12.4,Bike,6,1,1,21,25,8,4,8,5,37,Canteen,76792,High
25,Male,1,Business,Urban,14446,On-campus,12.0,Car,7,1,1,21,10,4,0,7,10,28,Cooking,72588,High
21,Female,4,Science,Urban,5922,Off-campus,9.4,Car,5,1,0,10,24,7,9,3,14,28,Cooking,59514,Medium
19,Male,1,Science,Rural,5419,Off-campus,3.2,Car,4,0,0,24,20,1,5,0,13,42,Canteen,49582,Low
23,Female,4,Science,Rural,23588,On-campus,7.8,Bike,5,0,1,21,3,5,8,0,5,43,Takeout,66274,Medium
23,Male,4,Medicine,Rural,15789,Off-campus,9.0,Car,1,1,1,12,17,2,8,0,6,21,Canteen,61038,Medium
23,Male,4,Science,Rural,6120,Off-campus,7.9,Bike,0,0,1,17,0,11,7,0,8,24,Takeout,52643,Low
19,Male,1,Engineering,Urban,16260,Off-campus,3.9,Car,6,0,0,1,26,11,4,7,2,42,Canteen,59527,Medium
21,Female,3,Arts,Rural,22334,Off-campus,7.7,Bike,6,1,1,20,6,13,0,2,6,40,Takeout,69875,High
23,Female,4,Engineering,Rural,7336,On-campus,7.4,Bus,9,0,1,14,5,9,8,5,1,2,Canteen,54553,Low
22,Male,2,Engineering,Urban,10373,On-campus,14.9,Bus,10,0,0,19,14,4,0,2,4,55,Takeout,71472,High
24,Female,1,Science,Urban,7243,Off-campus,13.5,Bus,9,1,1,17,17,11,7,4,14,8,Canteen,69520,High
19,Male,4,Arts,Urban,24029,On-campus,7.0,Bus,1,0,0,14,23,7,4,6,10,48,Canteen,73922,High
19,Male,4,Arts,Rural,9612,On-campus,9.3,Bus,1,0,0,18,10,9,2,1,3,27,Takeout,60182,Medium
21,Female,2,Arts,Urban,18946,On-campus,11.2,Car,0,1,0,22,19,13,6,5,9,22,Cooking,72275,High
19,Female,3,Medicine,Urban,23249,Off-campus,0.5,Car,9,0,1,23,23,0,6,5,3,37,Takeout,65276,Medium
19,Male,3,Science,Urban,16104,Off-campus,13.4,Car,7,0,1,11,14,4,8,2,6,27,Cooking,74691,High
23,Female,3,Arts,Rural,18429,Off-campus,12.9,Bike,7,1,0,12,15,2,6,5,1,57,Canteen,68501,High
21,Female,4,Medicine,Urban,11371,On-campus,6.9,Bike,0,1,1,21,6,3,2,9,12,29,Takeout,52881,Low
23,Male,4,Business,Rural,11359,Off-campus,5.9,Bike,11,1,1,10,20,1,0,9,6,3,Takeout,54972,Low
24,Male,4,Business,Rural,12863,Off-campus,4.1,Bike,10,0,1,4,9,8,7,4,4,44,Takeout,56343,Low
25,Female,1,Medicine,Urban,8228,On-campus,7.2,Bus,7,1,1,0,25,2,2,1,8,13,Cooking,52781,Low
24,Male,2,Medicine,Urban,19382,Off-campus,0.7,Bus,8,0,0,23,11,14,7,8,13,45,Cooking,69388,High
25,Male,4,Science,Rural,23755,Off-campus,12.8,Bus,3,1,1,2,23,1,7,7,11,10,Canteen,66520,Medium
23,Female,2,Science,Urban,7891,On-campus,0.5,Walk,0,0,0,21,13,9,4,2,9,36,Cooking,42112,Low
24,Male,2,Business,Urban,8756,On-campus,4.9,Car,0,1,0,18,24,10,0,7,4,9,Cooking,55413,Low
21,Male,3,Arts,Rural,20770,On-campus,14.0,Bike,2,1,1,22,4,8,9,8,10,54,Canteen,80648,High
18,Female,1,Business,Rural,21478,Off-campus,11.0,Bike,4,1,0,6,25,6,6,2,12,56,Takeout,78967,High
23,Female,4,Arts,Urban,7674,Off-campus,4.2,Bus,4,1,1,11,20,5,9,2,10,55,Takeout,54822,Low
25,Male,3,Arts,Rural,11898,Off-campus,3.8,Bike,8,0,1,14,17,0,4,1,6,27,Canteen,55841,Low
22,Male,3,Science,Urban,15147,On-campus,0.1,Bike,9,1,0,24,4,4,7,7,1,34,Takeout,48452,Low
25,Female,4,Engineering,Urban,5793,On-campus,10.4,Car,11,1,0,4,2,11,8,9,4,51,Cooking,61469,Medium
22,Female,2,Engineering,Urban,7116,Off-campus,0.7,Bus,1,0,0,14,22,10,6,0,7,1,Canteen,35694,Low
19,Female,3,Medicine,Rural,10779,Off-campus,8.0,Car,1,1,0,7,25,13,6,7,12,32,Canteen,63941,Medium
24,Female,2,Science,Urban,17298,On-campus,14.4,Walk,5,0,1,9,4,14,0,6,1,25,Canteen,76584,High
22,Male,1,Arts,Urban,19153,On-campus,1.6,Walk,8,1,1,15,23,10,3,6,8,29,Takeout,66863,Medium
25,Female,2,Engineering,Urban,16111,On-campus,13.4,Walk,0,1,1,7,16,2,1,2,12,7,Canteen,61044,Medium
19,Female,1,Arts,Rural,15789,On-campus,14.9,Bus,8,1,0,0,18,0,1,0,10,49,Canteen,68762,High
18,Male,2,Engineering,Rural,16397,Off-campus,0.9,Bike,8,0,0,11,18,3,1,3,12,3,Canteen,52095,Low
21,Female,3,Engineering,Rural,17999,On-campus,13.2,Bus,8,1,0,4,24,12,3,8,11,20,Takeout,77391,High
21,Male,3,Engineering,Rural,5814,Off-campus,7.7,Bus,4,1,1,2,20,1,0,4,6,20,Cooking,49139,Low
21,Female,1,Science,Rural,21729,Off-campus,13.6,Bike,8,1,0,0,11,1,3,0,5,53,Canteen,71658,High
22,Female,4,Business,Urban,15541,Off-campus,8.6,Car,10,0,1,3,24,2,1,4,10,30,Cooking,66950,Medium
18,Female,1,Arts,Rural,7443,On-campus,9.9,Walk,3,0,0,7,28,7,4,7,11,35,Takeout,60204,Medium
22,Male,1,Science,Rural,15457,On-campus,8.2,Car,1,1,1,2,8,7,2,7,14,35,Takeout,56388,Low
24,Male,2,Science,Rural,15380,On-campus,13.0,Walk,5,0,1,9,0,11,7,4,9,49,Takeout,72250,High
22,Female,2,Science,Urban,12783,On-campus,11.0,Bus,3,1,0,1,17,14,3,8,2,39,Takeout,72594,High
18,Male,1,Science,Rural,16473,Off-campus,7.8,Walk,5,1,0,10,20,6,0,0,5,27,Cooking,61861,Medium
18,Male,3,Science,Rural,22368,On-campus,13.0,Bus,2,1,1,24,3,5,0,3,6,26,Canteen,73461,High
24,Male,2,Medicine,Urban,20328,On-campus,3.7,Car,5,1,1,9,9,8,9,2,7,14,Takeout,59521,Medium
18,Male,4,Arts,Rural,5827,Off-campus,2.4,Bus,1,1,0,20,24,3,2,1,5,17,Takeout,44761,Low
25,Male,2,Science,Urban,24915,On-campus,2.4,Car,1,1,0,13,6,11,8,7,9,18,Cooking,55891,Low
18,Male,2,Arts,Urban,12147,Off-campus,5.0,Bike,8,1,1,6,21,0,6,6,1,45,Cooking,65777,Medium
21,Female,4,Medicine,Urban,9451,Off-campus,3.6,Bike,6,0,0,1,22,7,1,8,7,52,Takeout,54288,Low
25,Female,1,Medicine,Urban,20343,Off-campus,14.0,Bike,2,0,1,8,0,6,8,1,10,29,Canteen,70218,High
25,Male,4,Arts,Urban,18635,Off-campus,1.6,Bus,10,0,1,15,16,6,9,3,7,20,Canteen,62598,Medium
24,Female,1,Engineering,Rural,10959,Off-campus,10.5,Bike,0,0,0,12,23,14,1,5,4,53,Takeout,61341,Medium
20,Female,1,Business,Urban,5126,Off-campus,2.8,Walk,7,0,0,8,28,2,2,2,9,27,Cooking,47324,Low
20,Female,1,Engineering,Urban,24561,Off-campus,13.2,Car,5,0,0,19,28,3,9,7,14,18,Takeout,82318,High
18,Female,4,Engineering,Rural,13795,Off-campus,14.4,Car,6,0,0,3,1,9,1,2,12,4,Takeout,63735,Medium
25,Male,1,Engineering,Urban,16641,On-campus,7.0,Walk,8,1,0,21,27,8,2,1,11,1,Cooking,67217,Medium
20,Female,3,Science,Rural,12196,On-campus,13.2,Bus,4,1,1,9,25,14,5,2,5,50,Takeout,77929,High
20,Female,4,Medicine,Rural,16559,On-campus,0.1,Bus,0,1,1,21,10,5,8,5,4,1,Takeout,47174,Low
18,Male,3,Engineering,Rural,8368,On-campus,12.3,Car,11,1,0,11,8,14,8,1,13,58,Takeout,71508,High
20,Male,1,Medicine,Urban,8797,Off-campus,3.4,Bike,9,0,0,16,6,14,6,7,7,26,Cooking,55902,Low
22,Female,2,Arts,Urban,20114,On-campus,13.6,Bus,6,0,0,13,21,4,2,0,4,45,Canteen,73239,High
19,Female,1,Business,Urban,18718,Off-campus,0.0,Bus,4,1,1,13,16,2,3,6,3,20,Canteen,53471,Low
24,Female,3,Arts,Rural,6792,On-campus,8.3,Walk,2,1,0,24,16,8,5,1,9,52,Cooking,60230,Medium
19,Female,3,Arts,Urban,16053,On-campus,11.3,Walk,11,0,0,1,1,4,4,9,11,23,Canteen,70818,High
18,Female,4,Science,Urban,8476,On-campus,3.9,Bike,8,1,1,20,5,4,1,5,8,10,Takeout,53242,Low
21,Female,2,Business,Urban,8417,Off-campus,2.9,Bus,0,1,1,24,13,13,5,1,1,59,Canteen,57386,Low
24,Male,4,Arts,Rural,6645,On-campus,1.3,Bus,0,1,0,19,5,3,2,1,7,11,Takeout,36622,Low
18,Female,3,Arts,Rural,19755,Off-campus,4.9,Walk,0,1,0,10,1,13,7,9,9,41,Canteen,61845,Medium
25,Female,1,Business,Urban,24414,Off-campus,8.4,Bus,2,0,0,15,0,3,1,7,8,41,Cooking,68343,Medium
21,Male,2,Business,Urban,24256,On-campus,1.7,Car,11,1,1,18,9,11,0,1,8,5,Canteen,63784,Medium
19,Male,1,Arts,Urban,8072,On-campus,5.7,Walk,5,1,0,22,20,0,8,6,13,58,Canteen,60385,Medium
18,Male,1,Business,Urban,6854,On-campus,0.1,Bike,9,0,0,5,4,6,2,2,6,1,Canteen,35711,Low
25,Male,2,Arts,Rural,9662,Off-campus,12.3,Walk,10,0,0,23,1,8,0,7,11,17,Cooking,68529,High
24,Female,4,Arts,Rural,11514,On-campus,1.9,Bus,2,1,1,18,21,2,6,6,4,22,Canteen,53292,Low
24,Female,1,Science,Rural,7708,Off-campus,4.3,Bike,7,0,1,4,15,11,9,7,8,34,Cooking,59969,Medium
23,Female,3,Engineering,Rural,16694,Off-campus,0.3,Walk,9,1,0,3,24,12,4,6,3,56,Takeout,64667,Medium
25,Female,1,Arts,Urban,14524,On-campus,6.5,Car,1,1,0,14,1,14,4,5,13,45,Canteen,61061,Medium
22,Female,2,Medicine,Urban,24891,On-campus,12.6,Car,8,0,1,3,9,1,0,6,9,41,Cooking,77714,High
20,Female,2,Engineering,Urban,11456,Off-campus,5.9,Walk,2,1,1,19,1,2,8,4,13,29,Cooking,50378,Low
21,Male,2,Engineering,Rural,9212,Off-campus,2.7,Car,4,1,1,9,15,0,6,6,2,4,Canteen,45494,Low
25,Female,4,Engineering,Urban,18224,Off-campus,11.3,Car,9,1,1,23,15,5,7,0,2,5,Takeout,73128,High
23,Male,1,Science,Rural,12970,On-campus,11.8,Car,7,1,1,21,18,10,8,0,12,11,Cooking,64949,Medium
20,Male,4,Arts,Rural,21920,Off-campus,2.6,Bike,1,0,1,2,28,10,5,8,13,56,Canteen,70631,High
20,Female,4,Science,Urban,6625,On-campus,11.6,Car,5,0,1,4,6,6,4,4,12,51,Takeout,60931,Medium
18,Male,2,Arts,Urban,15314,Off-campus,14.2,Car,11,1,1,5,21,10,5,4,7,21,Cooking,78506,High
20,Female,2,Science,Urban,12973,Off-campus,2.5,Car,4,0,1,20,11,10,1,2,12,35,Cooking,47539,Low
22,Male,4,Science,Rural,13577,On-campus,11.6,Bike,9,1,0,21,23,1,3,4,10,12,Takeout,70051,High
24,Female,1,Medicine,Urban,13070,Off-campus,10.6,Walk,8,1,0,7,14,7,2,2,4,26,Takeout,64160,Medium
23,Male,3,Science,Rural,13666,On-campus,7.1,Bus,11,1,0,6,7,13,6,8,10,51,Canteen,65291,Medium
20,Female,4,Business,Urban,8600,On-campus,0.9,Car,4,1,1,20,5,5,8,8,8,19,Canteen,44810,Low
18,Female,1,Medicine,Rural,11783,Off-campus,1.1,Walk,1,1,0,9,27,13,4,5,9,45,Cooking,53896,Low
22,Female,2,Science,Rural,18226,On-campus,12.8,Car,4,0,1,5,26,3,5,0,7,7,Takeout,67916,Medium
19,Female,2,Engineering,Urban,14146,On-campus,14.9,Bike,11,1,1,13,9,4,9,6,5,47,Takeout,80782,High
24,Female,1,Business,Rural,9971,Off-campus,10.1,Walk,3,0,0,3,2,7,1,6,8,55,Takeout,55780,Low
24,Male,3,Business,Rural,18490,On-campus,6.7,Bike,10,0,1,24,18,13,2,9,4,7,Cooking,75905,High
23,Male,2,Business,Urban,22589,On-campus,9.7,Car,6,1,0,12,16,2,2,9,2,26,Takeout,76061,High
24,Male,2,Medicine,Rural,17951,On-campus,8.9,Car,5,1,0,19,6,2,8,3,11,40,Takeout,63501,Medium
20,Female,2,Science,Urban,17312,Off-campus,5.8,Bike,1,1,0,16,20,13,6,7,12,5,Cooking,62817,Medium
18,Male,1,Science,Rural,6990,On-campus,1.0,Bus,11,1,1,22,19,14,7,5,6,21,Canteen,59069,Low
24,Female,4,Engineering,Urban,10299,Off-campus,12.3,Bike,10,1,0,6,25,13,9,3,9,14,Canteen,71513,High
24,Female,2,Engineering,Urban,17997,Off-campus,5.6,Car,10,0,1,3,3,10,8,3,1,4,Cooking,59996,Medium
19,Male,4,Business,Rural,24956,On-campus,12.3,Bike,4,1,0,13,13,3,5,1,11,23,Takeout,70400,High
19,Male,3,Engineering,Rural,18472,On-campus,3.8,Bus,6,1,0,2,19,0,3,1,10,42,Cooking,56530,Low
21,Female,2,Medicine,Rural,9380,On-campus,0.0,Bike,10,0,0,23,21,8,0,3,12,20,Canteen,52254,Low
22,Male,2,Science,Rural,9757,Off-campus,2.4,Bus,6,0,1,4,14,7,7,4,7,15,Canteen,54143,Low
20,Female,3,Business,Rural,24097,On-campus,7.0,Bus,4,1,1,15,23,7,6,7,10,50,Cooking,78611,High
24,Female,2,Engineering,Urban,15395,On-campus,14.2,Bike,11,0,1,22,7,13,1,5,9,52,Cooking,79457,High
25,Female,4,Medicine,Rural,21241,On-campus,1.5,Bike,8,1,0,19,20,9,7,3,10,45,Canteen,60851,Medium
24,Female,1,Medicine,Urban,10588,On-campus,12.8,Walk,3,0,0,3,14,5,4,6,9,29,Cooking,62379,Medium
18,Female,4,Engineering,Urban,22350,On-campus,7.9,Car,10,0,1,23,21,6,6,7,10,8,Canteen,76144,High
21,Male,1,Science,Rural,9944,Off-campus,12.4,Bus,2,1,1,23,19,5,3,1,11,41,Cooking,66505,Medium
22,Male,1,Engineering,Urban,18395,Off-campus,4.5,Walk,3,0,1,1,27,8,4,6,13,48,Cooking,67119,Medium
25,Female,4,Business,Urban,24816,On-campus,12.6,Bike,4,0,1,17,13,2,7,1,3,19,Cooking,75400,High
21,Female,4,Engineering,Urban,22072,On-campus,11.6,Car,5,0,1,18,26,13,0,1,11,48,Canteen,83874,High
23,Male,4,Medicine,Urban,9243,On-campus,3.5,Walk,2,0,1,18,28,2,0,7,13,39,Cooking,60782,Medium
22,Male,4,Engineering,Rural,14916,On-campus,2.0,Bus,1,0,0,16,8,2,3,1,5,46,Canteen,43066,Low
24,Female,3,Science,Urban,14984,Off-campus,13.0,Walk,3,0,1,13,7,9,2,8,8,28,Canteen,71299,High
24,Male,2,Arts,Rural,6759,On-campus,14.4,Bus,4,1,0,18,25,2,9,0,8,46,Cooking,64970,Medium
22,Female,1,Engineering,Rural,14181,Off-campus,0.5,Bike,3,1,0,21,27,8,1,8,4,57,Cooking,64001,Medium
24,Male,4,Science,Urban,7482,Off-campus,11.0,Car,10,0,1,23,25,11,2,0,12,27,Canteen,65057,Medium
20,Female,4,Science,Rural,5951,On-campus,13.6,Car,11,1,1,12,16,3,0,9,11,4,Canteen,62764,Medium
22,Male,4,Medicine,Rural,7079,Off-campus,12.9,Car,2,1,0,11,1,12,0,9,11,58,Takeout,65127,Medium
21,Female,3,Science,Rural,7717,Off-campus,14.5,Bike,7,1,1,5,24,6,5,1,1,15,Canteen,71502,High
22,Male,4,Science,Urban,14692,Off-campus,11.4,Bus,9,0,1,20,23,13,4,5,1,35,Takeout,82473,High
